Comm,Sp,Time,Count,Dilution,Dil_fact
Comm1,Sr,T2,23,100000,16.66666667
Comm1,Aa,T2,133,100000,16.66666667
Comm1,Vg,T2,73,100000,16.66666667
Comm1,Od,T2,95,100000,16.66666667
Comm2,Pc,T2,1,100000,16.66666667
Comm2,Sr,T2,14,100000,16.66666667
Comm2,Aa,T2,100,100000,16.66666667
Comm2,Vg,T2,21,100000,16.66666667
Comm2,Od,T2,136,100000,16.66666667
Comm3,Pc,T2,9,100000,16.66666667
Comm3,Sr,T2,17,100000,16.66666667
Comm3,Aa,T2,68,100000,16.66666667
Comm3,Vg,T2,34,100000,16.66666667
Comm3,Od,T2,73,100000,16.66666667
Comm4,Pc,T2,0,100000,16.66666667
Comm4,Sr,T2,14,100000,16.66666667
Comm4,Aa,T2,198,100000,16.66666667
Comm4,Vg,T2,8,100000,16.66666667
Comm4,Od,T2,76,100000,16.66666667
Comm5,Pc,T2,1,100000,16.66666667
Comm5,Sr,T2,50,100000,16.66666667
Comm5,Aa,T2,75,100000,16.66666667
Comm5,Vg,T2,56,100000,16.66666667
Comm5,Od,T2,49,100000,16.66666667
Comm6,Pc,T2,7,100000,16.66666667
Comm6,Sr,T2,91,100000,16.66666667
Comm6,Aa,T2,96,100000,16.66666667
Comm6,Vg,T2,10,100000,16.66666667
Comm6,Od,T2,60,100000,16.66666667
Comm7,Pc,T2,NA,100000,16.66666667
Comm7,Sr,T2,NA,100000,16.66666667
Comm7,Aa,T2,NA,100000,16.66666667
Comm7,Vg,T2,NA,100000,16.66666667
Comm7,Od,T2,NA,100000,16.66666667
Comm8,Pc,T2,7,100000,16.66666667
Comm8,Sr,T2,27,100000,16.66666667
Comm8,Aa,T2,122,100000,16.66666667
Comm8,Vg,T2,6,100000,16.66666667
Comm8,Od,T2,53,100000,16.66666667
Comm9,Pc,T2,26,100000,16.66666667
Comm9,Sr,T2,24,100000,16.66666667
Comm9,Aa,T2,85,100000,16.66666667
Comm9,Vg,T2,45,100000,16.66666667
Comm9,Od,T2,49,100000,16.66666667
Comm10,Pc,T2,NA,100000,16.66666667
Comm10,Sr,T2,NA,100000,16.66666667
Comm10,Aa,T2,NA,100000,16.66666667
Comm10,Vg,T2,NA,100000,16.66666667
Comm10,Od,T2,NA,100000,16.66666667
Comm11,Pc,T2,1,100000,16.66666667
Comm11,Sr,T2,32,100000,16.66666667
