TR.ID,Block,Res.id,PC.c,SR.c,AA.c,Vg.c,Od.c,ML,Dil,T0,Sp.rep,Treat
213,C,C.e,13,488,54,478,182,28.57142857,10000,166666.6667,OD,AN
214,C,C.e,36,696,46,290,108,28.57142857,10000,166666.6667,VG,AN
215,C,C.e,16,100,46,376,118,28.57142857,10000,166666.6667,AA,AN
216,C,C.e,46,328,32,422,126,28.57142857,10000,166666.6667,SR,AN
217,C,C.e,18,136,94,576,130,28.57142857,10000,166666.6667,PC,AN
218,C,C.f,24,448,78,158,142,28.57142857,10000,166666.6667,OD,AN
219,C,C.f,20,182,72,340,160,28.57142857,10000,166666.6667,VG,AN
220,C,C.f,16,324,24,172,76,28.57142857,10000,166666.6667,AA,AN
221,C,C.f,80,328,16,288,50,28.57142857,10000,166666.6667,SR,AN
222,C,C.f,14,242,20,372,86,28.57142857,10000,166666.6667,PC,AN
223,D,C.g,26,202,18,308,172,28.57142857,10000,166666.6667,OD,AN
224,D,C.g,82,300,62,262,162,28.57142857,10000,166666.6667,VG,AN
225,D,C.g,38,288,18,286,116,28.57142857,10000,166666.6667,AA,AN
226,D,C.g,148,68,8,164,130,28.57142857,10000,166666.6667,SR,AN
227,D,C.g,90,26,8,192,100,28.57142857,10000,166666.6667,PC,AN
228,D,C.h,126,320,18,130,70,28.57142857,10000,166666.6667,OD,AN
229,D,C.h,378,284,18,58,26,28.57142857,10000,166666.6667,VG,AN
230,D,C.h,282,324,22,86,20,28.57142857,10000,166666.6667,AA,AN
231,D,C.h,280,320,10,194,86,28.57142857,10000,166666.6667,SR,AN
232,D,C.h,58,340,20,326,88,28.57142857,10000,166666.6667,PC,AN
233,E,C.i,76,594,18,208,136,28.57142857,10000,166666.6667,OD,AN
234,E,C.i,56,640,16,98,174,28.57142857,10000,166666.6667,VG,AN
235,E,C.i,76,742,52,184,110,28.57142857,10000,166666.6667,AA,AN
236,E,C.i,54,502,28,298,144,28.57142857,10000,166666.6667,SR,AN
237,E,C.i,72,640,44,170,64,28.57142857,10000,166666.6667,PC,AN
238,E,C.j,58,434,34,314,120,28.57142857,10000,166666.6667,OD,AN
239,E,C.j,50,448,32,158,86,28.57142857,10000,166666.6667,VG,AN
240,E,C.j,68,406,58,238,86,28.57142857,10000,166666.6667,AA,AN
241,E,C.j,46,704,40,238,82,28.57142857,10000,166666.6667,SR,AN
242,E,C.j,27,268,104,318,202,28.57142857,10000,166666.6667,PC,AN
243,F,C.k,50,338,26,296,80,28.57142857,10000,166666.6667,OD,AN
244,F,C.k,18,418,60,130,160,28.57142857,10000,166666.6667,VG,AN
245,F,C.k,48,278,72,326,108,28.57142857,10000,166666.6667,AA,AN
246,F,C.k,38,316,140,444,230,28.57142857,10000,166666.6667,SR,AN
247,F,C.k,54,428,54,300,106,28.57142857,10000,166666.6667,PC,AN
248,F,C.l,52,476,46,400,156,28.57142857,10000,166666.6667,OD,AN
249,F,C.l,38,374,68,292,132,28.57142857,10000,166666.6667,VG,AN
250,F,C.l,24,342,68,266,98,28.57142857,10000,166666.6667,AA,AN
251,F,C.l,22,604,98,108,148,28.57142857,10000,166666.6667,SR,AN
252,F,C.l,34,364,52,302,64,28.57142857,10000,166666.6667,PC,AN
