Block,Res.id,Sp,Treat,sp.fit
D,C.g,PC,NU,6.356107661
D,C.h,OD,NU,6.230481447
D,C.h,VG,NU,5.991464547
D,C.h,AA,NU,5.049856007
D,C.h,SR,NU,7.069874128
D,C.h,PC,NU,6.068425588
E,C.i,OD,NU,6.011267174
E,C.i,VG,NU,7.02464903
E,C.i,AA,NU,5.33753808
E,C.i,SR,NU,7.468513271
E,C.i,PC,NU,5.97126184
E,C.j,OD,NU,5.480638923
E,C.j,VG,NU,4.912654886
E,C.j,AA,NU,5.375278408
E,C.j,SR,NU,6.694562058
E,C.j,PC,NU,6.950814768
F,C.k,OD,NU,6.977281342
F,C.k,VG,NU,7.714231145
F,C.k,AA,NU,5.513428746
F,C.k,SR,NU,7.860185057
F,C.k,PC,NU,4.276666119
F,C.l,OD,NU,7.028201432
F,C.l,VG,NU,7.555905094
F,C.l,AA,NU,5.886104031
F,C.l,SR,NU,7.588829878
F,C.l,PC,NU,3.688879454
