Treatment,Block,Res.com.ID,Inv.sp,coev,Res.count,Inv.count,T0.res,T0.inv,Dilution,ML,Froz.fact
80,B4,H,PC,N,832,36,666666.6667,6666.666667,10000,33.33333333,2
81,B5,I,OD,Y,870,78,666666.6667,6666.666667,10000,33.33333333,2
82,B5,I,OD,N,866,84,666666.6667,6666.666667,10000,33.33333333,2
83,B5,I,VG,Y,536,206,666666.6667,6666.666667,10000,33.33333333,2
84,B5,I,VG,N,548,108,666666.6667,6666.666667,10000,33.33333333,2
85,B5,I,AA,Y,748,18,666666.6667,6666.666667,10000,33.33333333,2
86,B5,I,AA,N,774,22,666666.6667,6666.666667,10000,33.33333333,2
87,B5,I,SR,Y,402,234,666666.6667,6666.666667,10000,33.33333333,2
88,B5,I,SR,N,376,364,666666.6667,6666.666667,10000,33.33333333,2
89,B5,I,PC,Y,584,20,666666.6667,6666.666667,10000,33.33333333,2
90,B5,I,PC,N,686,24,666666.6667,6666.666667,10000,33.33333333,2
91,B5,J,OD,Y,642,50,666666.6667,6666.666667,10000,33.33333333,2
92,B5,J,OD,N,682,76,666666.6667,6666.666667,10000,33.33333333,2
93,B5,J,VG,Y,462,224,666666.6667,6666.666667,10000,33.33333333,2
94,B5,J,VG,N,490,212,666666.6667,6666.666667,10000,33.33333333,2
95,B5,J,AA,Y,606,30,666666.6667,6666.666667,10000,33.33333333,2
96,B5,J,AA,N,538,10,666666.6667,6666.666667,10000,33.33333333,2
97,B5,J,SR,Y,388,406,666666.6667,6666.666667,10000,33.33333333,2
98,B5,J,SR,N,522,438,666666.6667,6666.666667,10000,33.33333333,2
99,B5,J,PC,Y,672,26,666666.6667,6666.666667,10000,33.33333333,2
100,B5,J,PC,N,690,22,666666.6667,6666.666667,10000,33.33333333,2
101,B6,K,OD,Y,674,66,666666.6667,6666.666667,10000,33.33333333,2
102,B6,K,OD,N,734,56,666666.6667,6666.666667,10000,33.33333333,2
103,B6,K,VG,Y,774,120,666666.6667,6666.666667,10000,33.33333333,2
104,B6,K,VG,N,662,118,666666.6667,6666.666667,10000,33.33333333,2
105,B6,K,AA,Y,674,56,666666.6667,6666.666667,10000,33.33333333,2
106,B6,K,AA,N,628,84,666666.6667,6666.666667,10000,33.33333333,2
107,B6,K,SR,Y,468,170,666666.6667,6666.666667,10000,33.33333333,2
108,B6,K,SR,N,422,248,666666.6667,6666.666667,10000,33.33333333,2
109,B6,K,PC,Y,744,22,666666.6667,6666.666667,10000,33.33333333,2
110,B6,K,PC,N,886,50,666666.6667,6666.666667,10000,33.33333333,2
111,B6,L,OD,Y,590,66,666666.6667,6666.666667,10000,33.33333333,2
112,B6,L,OD,N,658,50,666666.6667,6666.666667,10000,33.33333333,2
113,B6,L,VG,Y,382,176,666666.6667,6666.666667,10000,33.33333333,2
114,B6,L,VG,N,502,202,666666.6667,6666.666667,10000,33.33333333,2
115,B6,L,AA,Y,596,32,666666.6667,6666.666667,10000,33.33333333,2
116,B6,L,AA,N,632,44,666666.6667,6666.666667,10000,33.33333333,2
117,B6,L,SR,Y,424,202,666666.6667,6666.666667,10000,33.33333333,2
118,B6,L,SR,N,458,384,666666.6667,6666.666667,10000,33.33333333,2
119,B6,L,PC,Y,838,32,666666.6667,6666.666667,10000,33.33333333,2
120,B6,L,PC,N,588,34,666666.6667,6666.666667,10000,33.33333333,2
253,B1,A,OD,A,1132,54,666666.6667,6666.666667,10000,28.57142857,2
254,B1,A,VG,A,1046,24,666666.6667,6666.666667,10000,28.57142857,2
255,B1,A,AA,A,828,8,666666.6667,6666.666667,10000,28.57142857,2
256,B1,A,SR,A,460,652,666666.6667,6666.666667,10000,28.57142857,2
