SP,OD600
PC,0.047
PC,0.11
PC,0.092
PC,0.091
PC,0.096
PC,0.099
PC,0.097
PC,0.047
PC,0.047
PC,0.118
PC,0.096
PC,0.096
PC,0.101
PC,0.105
PC,0.103
PC,0.048
PC,0.047
PC,0.125
PC,0.102
PC,0.102
PC,0.107
PC,0.111
PC,0.109
PC,0.048
PC,0.047
PC,0.133
PC,0.107
PC,0.107
PC,0.114
PC,0.119
PC,0.116
PC,0.047
PC,0.047
PC,0.143
PC,0.114
PC,0.115
PC,0.121
PC,0.127
PC,0.124
PC,0.047
PC,0.047
PC,0.154
PC,0.121
PC,0.122
PC,0.13
PC,0.137
PC,0.133
PC,0.047
PC,0.047
PC,0.166
PC,0.13
PC,0.132
PC,0.14
PC,0.147
PC,0.143
PC,0.047
PC,0.047
PC,0.179
PC,0.139
PC,0.141
PC,0.151
PC,0.159
PC,0.155
PC,0.047
PC,0.047
PC,0.192
PC,0.149
PC,0.153
PC,0.164
PC,0.173
PC,0.168
PC,0.047
PC,0.047
PC,0.207
PC,0.161
PC,0.165
PC,0.177
PC,0.187
PC,0.182
PC,0.047
PC,0.047
PC,0.224
PC,0.173
PC,0.179
PC,0.192
PC,0.203
PC,0.198
PC,0.048
PC,0.047
PC,0.243
PC,0.188
PC,0.194
PC,0.209
PC,0.221
PC,0.215
PC,0.047
PC,0.047
PC,0.263
PC,0.204
PC,0.211
PC,0.228
PC,0.241
PC,0.235
PC,0.047
PC,0.047
PC,0.286
PC,0.221
PC,0.23
PC,0.248
PC,0.263
PC,0.256
PC,0.048
PC,0.046
PC,0.31
PC,0.239
PC,0.25
PC,0.271
PC,0.288
PC,0.28
PC,0.047
PC,0.047
PC,0.337
PC,0.26
PC,0.274
PC,0.296
PC,0.315
PC,0.306
PC,0.047
PC,0.047
PC,0.365
PC,0.284
PC,0.3
PC,0.325
PC,0.346
PC,0.336
PC,0.048
PC,0.047
PC,0.396
PC,0.31
PC,0.328
PC,0.356
PC,0.378
PC,0.367
PC,0.047
PC,0.047
PC,0.44
PC,0.339
PC,0.36
PC,0.39
PC,0.41
PC,0.4
PC,0.047
PC,0.046
PC,0.475
PC,0.37
PC,0.391
PC,0.425
PC,0.448
PC,0.435
PC,0.047
PC,0.046
PC,0.498
PC,0.403
PC,0.43
PC,0.476
PC,0.499
PC,0.488
PC,0.047
PC,0.047
PC,0.518
PC,0.444
PC,0.479
PC,0.511
PC,0.519
PC,0.513
PC,0.047
PC,0.047
PC,0.547
PC,0.484
PC,0.505
PC,0.531
PC,0.547
PC,0.54
PC,0.047
PC,0.046
PC,0.577
PC,0.508
PC,0.529
PC,0.563
PC,0.581
PC,0.573
PC,0.047
PC,0.046
PC,0.606
PC,0.532
PC,0.561
PC,0.597
PC,0.614
PC,0.608
PC,0.047
PC,0.046
PC,0.634
PC,0.562
PC,0.594
PC,0.632
PC,0.647
PC,0.642
PC,0.047
PC,0.047
PC,0.662
PC,0.592
PC,0.628
PC,0.667
PC,0.678
PC,0.676
PC,0.047
PC,0.046
PC,0.691
PC,0.623
PC,0.658
PC,0.699
PC,0.712
PC,0.711
PC,0.047
PC,0.046
PC,0.715
PC,0.653
PC,0.691
PC,0.732
PC,0.739
PC,0.741
PC,0.047
PC,0.047
PC,0.739
PC,0.682
PC,0.722
PC,0.758
PC,0.764
PC,0.768
PC,0.048
PC,0.046
PC,0.766
PC,0.713
PC,0.748
PC,0.788
PC,0.793
PC,0.799
PC,0.047
PC,0.046
PC,0.787
PC,0.738
PC,0.777
PC,0.816
PC,0.817
PC,0.825
PC,0.047
PC,0.046
PC,0.805
PC,0.764
PC,0.804
PC,0.84
PC,0.839
PC,0.849
PC,0.047
PC,0.046
PC,0.821
PC,0.793
PC,0.826
PC,0.861
PC,0.859
PC,0.871
PC,0.047
PC,0.046
PC,0.836
PC,0.815
PC,0.846
PC,0.883
PC,0.879
PC,0.89
PC,0.047
PC,0.046
PC,0.85
PC,0.835
PC,0.866
PC,0.897
PC,0.894
PC,0.904
PC,0.047
PC,0.046
PC,0.861
PC,0.853
PC,0.881
PC,0.907
PC,0.906
PC,0.914
PC,0.047
PC,0.046
PC,0.871
PC,0.869
PC,0.894
PC,0.917
PC,0.914
PC,0.923
PC,0.047
SR,0.048
SR,0.05
SR,0.05
SR,0.052
SR,0.052
SR,0.056
SR,0.05
SR,0.05
SR,0.048
SR,0.05
SR,0.05
SR,0.052
SR,0.052
SR,0.057
SR,0.051
SR,0.05
SR,0.047
SR,0.051
SR,0.05
SR,0.052
SR,0.052
SR,0.057
SR,0.05
SR,0.049
SR,0.047
SR,0.051
SR,0.051
SR,0.052
SR,0.052
SR,0.057
SR,0.05
SR,0.049
SR,0.048
SR,0.051
SR,0.051
SR,0.053
SR,0.052
SR,0.058
SR,0.051
SR,0.05
SR,0.048
SR,0.051
SR,0.051
SR,0.056
SR,0.053
SR,0.058
SR,0.051
SR,0.05
SR,0.048
SR,0.052
SR,0.051
SR,0.055
SR,0.053
SR,0.059
SR,0.051
SR,0.05
SR,0.048
SR,0.052
SR,0.052
SR,0.055
SR,0.053
SR,0.06
SR,0.052
SR,0.05
SR,0.047
SR,0.052
SR,0.052
SR,0.055
SR,0.054
SR,0.06
SR,0.052
SR,0.05
SR,0.048
SR,0.053
SR,0.053
SR,0.056
SR,0.055
SR,0.061
SR,0.053
SR,0.05
SR,0.048
SR,0.054
SR,0.053
SR,0.056
SR,0.055
SR,0.062
SR,0.053
SR,0.05
SR,0.048
SR,0.053
SR,0.053
SR,0.057
SR,0.055
SR,0.063
SR,0.053
SR,0.05
SR,0.047
SR,0.054
SR,0.054
SR,0.058
SR,0.056
SR,0.064
SR,0.054
SR,0.05
SR,0.048
SR,0.054
SR,0.055
SR,0.058
SR,0.057
SR,0.065
SR,0.054
SR,0.05
SR,0.048
SR,0.055
SR,0.055
SR,0.059
SR,0.057
SR,0.066
SR,0.055
SR,0.05
SR,0.047
SR,0.056
SR,0.056
SR,0.06
SR,0.058
SR,0.068
SR,0.055
SR,0.05
SR,0.047
SR,0.056
SR,0.057
SR,0.061
SR,0.059
SR,0.069
SR,0.056
SR,0.05
SR,0.048
SR,0.057
SR,0.058
SR,0.062
SR,0.06
SR,0.072
SR,0.057
SR,0.05
SR,0.048
SR,0.058
SR,0.059
SR,0.063
SR,0.061
SR,0.073
SR,0.058
SR,0.05
SR,0.048
SR,0.059
SR,0.06
SR,0.065
SR,0.063
SR,0.075
SR,0.059
SR,0.05
SR,0.047
SR,0.06
SR,0.061
SR,0.066
SR,0.064
SR,0.077
SR,0.06
SR,0.049
SR,0.048
SR,0.061
SR,0.063
SR,0.068
SR,0.066
SR,0.08
SR,0.061
SR,0.05
SR,0.048
SR,0.063
SR,0.064
SR,0.07
SR,0.068
SR,0.083
SR,0.062
SR,0.05
SR,0.048
SR,0.064
SR,0.065
SR,0.072
SR,0.069
SR,0.085
SR,0.063
SR,0.05
SR,0.048
SR,0.066
SR,0.067
SR,0.074
SR,0.071
SR,0.088
SR,0.065
SR,0.05
SR,0.048
SR,0.067
SR,0.069
SR,0.076
SR,0.073
SR,0.091
SR,0.067
SR,0.05
SR,0.047
SR,0.069
SR,0.071
SR,0.078
SR,0.075
SR,0.094
SR,0.068
SR,0.05
SR,0.047
SR,0.071
SR,0.073
SR,0.08
SR,0.078
SR,0.098
SR,0.07
SR,0.05
SR,0.047
SR,0.073
SR,0.075
SR,0.083
SR,0.08
SR,0.102
SR,0.072
SR,0.05
SR,0.048
SR,0.075
SR,0.078
SR,0.086
SR,0.083
SR,0.106
SR,0.074
SR,0.05
SR,0.048
SR,0.078
SR,0.081
SR,0.089
SR,0.086
SR,0.111
SR,0.077
SR,0.05
SR,0.048
SR,0.08
SR,0.084
SR,0.093
SR,0.089
SR,0.116
SR,0.08
SR,0.05
SR,0.047
SR,0.083
SR,0.087
SR,0.096
SR,0.093
SR,0.122
SR,0.082
SR,0.049
SR,0.048
SR,0.086
SR,0.091
SR,0.101
SR,0.097
SR,0.128
SR,0.085
SR,0.05
SR,0.048
SR,0.09
SR,0.095
SR,0.105
SR,0.101
SR,0.135
SR,0.088
SR,0.049
SR,0.047
SR,0.093
SR,0.1
SR,0.11
SR,0.106
SR,0.142
SR,0.092
SR,0.049
SR,0.048
SR,0.097
SR,0.104
SR,0.115
SR,0.111
SR,0.15
SR,0.096
SR,0.049
SR,0.047
SR,0.102
SR,0.108
SR,0.121
SR,0.116
SR,0.158
SR,0.099
SR,0.049
SR,0.048
SR,0.107
SR,0.115
SR,0.128
SR,0.123
SR,0.168
SR,0.105
SR,0.05
SR,0.048
SR,0.112
SR,0.121
SR,0.135
SR,0.13
SR,0.179
SR,0.11
SR,0.049
SR,0.048
SR,0.118
SR,0.128
SR,0.143
SR,0.137
SR,0.19
SR,0.116
SR,0.049
SR,0.047
SR,0.125
SR,0.135
SR,0.151
SR,0.144
SR,0.202
SR,0.122
SR,0.049
SR,0.047
SR,0.132
SR,0.144
SR,0.16
SR,0.154
SR,0.215
SR,0.129
SR,0.049
SR,0.047
SR,0.139
SR,0.152
SR,0.169
SR,0.164
SR,0.23
SR,0.136
SR,0.049
SR,0.047
SR,0.147
SR,0.162
SR,0.18
SR,0.174
SR,0.246
SR,0.144
SR,0.05
SR,0.047
SR,0.156
SR,0.173
SR,0.193
SR,0.186
SR,0.263
SR,0.152
SR,0.049
SR,0.047
SR,0.166
SR,0.184
SR,0.205
SR,0.198
SR,0.281
SR,0.162
SR,0.049
SR,0.047
SR,0.177
SR,0.196
SR,0.221
SR,0.211
SR,0.3
SR,0.171
SR,0.049
SR,0.047
SR,0.189
SR,0.211
SR,0.235
SR,0.227
SR,0.322
SR,0.183
SR,0.049
SR,0.048
SR,0.202
SR,0.227
SR,0.253
