TR.ID,Block,Res.id,Count,Sp,Treat,N.fit2,sp.cfu,sp.fit,sp.rel.fit2
212,B,C.d,74,PC,AN,5.221127728,42285714.28,5.536208774,1.060347316
213,C,C.e,182,OD,AN,5.914274908,104000000,6.436150368,1.088239973
214,C,C.e,290,VG,AN,7.090076836,165714285.7,6.902024604,0.9734767
215,C,C.e,46,AA,AN,3.871201011,26285714.28,5.060785078,1.307290699
216,C,C.e,328,SR,AN,6.987885895,187428571.4,7.025157289,1.005333715
217,C,C.e,18,PC,AN,5.221127728,10285714.29,4.122515439,0.789583334
218,C,C.f,142,OD,AN,5.857116494,81142857.14,6.187970739,1.056487564
219,C,C.f,340,VG,AN,6.344131469,194285714.3,7.061089299,1.113011187
220,C,C.f,24,AA,AN,4.869729841,13714285.71,4.410197511,0.905634944
221,C,C.f,328,SR,AN,7.156399478,187428571.4,7.025157289,0.981660863
222,C,C.f,14,PC,AN,3.940193882,8000000,3.871201011,0.982489981
223,D,C.g,172,OD,AN,6.35610766,98285714.28,6.379638158,1.003702029
224,D,C.g,262,VG,AN,6.052425247,149714285.7,6.800488185,1.12359722
225,D,C.g,18,AA,AN,4.815662619,10285714.29,4.122515439,0.856064007
226,D,C.g,68,SR,AN,7.25316703,38857142.86,5.451651386,0.751623582
227,D,C.g,90,PC,AN,2.618438042,51428571.43,5.731953351,2.189073508
228,D,C.h,70,OD,AN,5.686490977,40000000,5.480638923,0.96379981
229,D,C.h,58,VG,AN,7.59171755,33142857.14,5.292586692,0.69715274
230,D,C.h,22,AA,AN,5.103344692,12571428.57,4.323186134,0.847127991
231,D,C.h,320,SR,AN,7.049254841,182857142.8,7.000464677,0.993078678
232,D,C.h,58,PC,AN,4.564348191,33142857.14,5.292586692,1.159549287
233,E,C.i,136,OD,AN,6.036164726,77714285.71,6.144798567,1.017997163
234,E,C.i,98,VG,AN,6.935926156,56000000,5.81711116,0.838692776
235,E,C.i,52,AA,AN,5.796491873,29714285.71,5.1833874,0.894228356
236,E,C.i,502,SR,AN,6.173786104,286857142.8,7.450743801,1.206835429
237,E,C.i,72,PC,AN,4.17658266,41142857.14,5.5088098,1.318975404
238,E,C.j,120,OD,AN,5.950642552,68571428.57,6.019635424,1.011594189
